user_id,avg_score
0,0.0025
1,0.0025
2,0.0035000000000000005
3,0.003
4,0.0025
5,0.0027
6,0.0025
7,0.0027
8,0.0025
9,0.0029000000000000002
10,0.0029000000000000002
11,0.0025
12,0.0025
13,0.0025
14,0.0025
15,0.0027
16,0.0029000000000000002
17,0.0025
18,0.0025
19,0.0025
20,0.0025
21,0.0029
22,0.0025
23,0.0025
24,0.0025
25,0.0029
26,0.0025
27,0.0025
28,0.0029000000000000002
29,0.0025
30,0.0027
31,0.0025
32,0.0025
33,0.0027
34,0.0027
35,0.0027
36,0.0025
37,0.0027
38,0.0027
39,0.0025
40,0.0034000000000000002
41,0.0025
42,0.0034000000000000002
43,0.0025
44,0.0033
45,0.0027
46,0.0025
47,0.0025
48,0.0025
49,0.0025
50,0.0025
51,0.0027
52,0.0028000000000000004
53,0.0027
54,0.0025
55,0.0025
56,0.0027
57,0.0025
58,0.0025
59,0.0033999999999999994
60,0.0029000000000000002
61,0.0025
62,0.0025
63,0.0029000000000000002
64,0.0025
65,0.0025
66,0.0025
67,0.0027
68,0.0029000000000000002
69,0.0025
70,0.0025
71,0.0027
72,0.0025
73,0.0029000000000000002
74,0.0025
75,0.0025
76,0.0025
77,0.0025
78,0.0025
79,0.0025
80,0.0034000000000000002
81,0.0029000000000000002
82,0.0025
83,0.0025
84,0.0025
85,0.0027
86,0.0033
87,0.0025
88,0.0025
89,0.0025
90,0.0025
91,0.0027
92,0.0025
93,0.0031000000000000003
94,0.0025
95,0.0029
96,0.0033
97,0.0029000000000000002
98,0.0025
99,0.0025
100,0.0027
101,0.0025
102,0.0025
103,0.0025
104,0.0025
105,0.0025
106,0.0025
107,0.0031000000000000003
108,0.0025
109,0.0025
110,0.0025
111,0.0025
112,0.0025
113,0.0025
114,0.0025
115,0.0035000000000000005
116,0.0025
117,0.0031
118,0.0025
119,0.0025
120,0.0025
121,0.0029000000000000002
122,0.0025
123,0.0035000000000000005
124,0.003
125,0.0025
126,0.0027
127,0.0029000000000000002
128,0.0025
129,0.0035000000000000005
130,0.0025
131,0.0025
132,0.0033
133,0.0025
134,0.0033
135,0.0025
136,0.0025
137,0.0025
138,0.0025
139,0.0027
140,0.0025
141,0.0025
142,0.0025
143,0.0025
144,0.0025
145,0.0025
146,0.0029000000000000002
147,0.0025
148,0.0025
149,0.0027
150,0.0025
151,0.0025
152,0.0025
153,0.0025
154,0.0025
155,0.0029000000000000002
156,0.0025
157,0.0025
158,0.0025
159,0.0025
160,0.0025
161,0.0025
162,0.0025
163,0.0025
164,0.0025
165,0.0025
166,0.0029
167,0.0025
168,0.0027
169,0.0025
170,0.0025
171,0.0025
172,0.0036
173,0.0025
174,0.0031
175,0.0034999999999999996
176,0.0025
177,0.0025
178,0.0025
179,0.0025
180,0.0025
181,0.0033
182,0.0025
183,0.0025
184,0.0027
185,0.0025
186,0.0025
187,0.0027
188,0.0025
189,0.0027
190,0.0025
191,0.0025
192,0.0025
193,0.0025
194,0.0029000000000000002
195,0.0032
196,0.0057
197,0.0027
198,0.0029000000000000002
199,0.0025
200,0.0032
201,0.0025
202,0.0029000000000000002
203,0.0025
204,0.0025
205,0.0027
206,0.0027
207,0.0025
208,0.0025
209,0.0027
210,0.0025
211,0.0025
212,0.0032
213,0.0025
214,0.0034000000000000002
215,0.0027
216,0.0025
217,0.0027
218,0.0029000000000000002
219,0.0031
220,0.0025
221,0.0029000000000000002
222,0.0025
223,0.0027
224,0.0027
225,0.0025
226,0.0025
227,0.0025
228,0.0025
229,0.0025
230,0.0025
231,0.0025
232,0.0025
233,0.0025
234,0.0025
235,0.0025
236,0.0025
237,0.0025
238,0.0025
239,0.0025
240,0.0025
241,0.0029000000000000002
242,0.0034000000000000002
243,0.0025
244,0.0027
245,0.0025
246,0.0025
247,0.0027
248,0.0029000000000000002
249,0.0029000000000000002
250,0.0025
251,0.0027
252,0.0025
253,0.0025
254,0.0025
255,0.0025
256,0.0025
257,0.0033
258,0.0025
259,0.0025
260,0.0025
261,0.0025
262,0.0025
263,0.0025
264,0.0025
265,0.0029000000000000002
266,0.0025
267,0.0034000000000000002
268,0.0025
269,0.0027
270,0.0025
271,0.0025
272,0.0025
273,0.0025
274,0.0025
275,0.0029000000000000002
276,0.0035000000000000005
277,0.0028000000000000004
278,0.0027
279,0.0025
280,0.0025
281,0.0025
282,0.0025
283,0.0029000000000000002
284,0.0025
285,0.0025
286,0.0025
287,0.0038
288,0.0031
289,0.0025
290,0.0031
291,0.0025
292,0.0031000000000000003
293,0.0025
294,0.0027
295,0.0025
296,0.0025
297,0.0025
298,0.0025
299,0.0025
300,0.0027
301,0.0025
302,0.0029
303,0.0027
304,0.0027
305,0.0027
306,0.0025
307,0.0025
308,0.0025
